Licensee Name,Sunrise Apparel Co.
Licensor Name,BrandCo Holdings LLC
Contract Number,BC-2024-0042
Reporting Period Start,2025-01-01
Reporting Period End,2025-03-31
Report Submission Date,2025-04-28
Territory,United States

Product Description,SKU,Product Category,Gross Sales,Returns / Allowances,Net Sales,Royalty Rate,Royalty Due
Licensed Branded Apparel - All SKUs,ALL,Apparel,87500.00,4200.00,83300.00,8%,6384.00

TOTAL,,,,4200.00,83300.00,,6384.00

Licensee Reported Royalty,6384.00
Notes,"Licensee applied 8% rate. Returns reflect Q1 chargebacks from retail partners. Note: licensee calculated royalty on $79,800 (they appear to have used an older net sales figure from a prior draft). Correct net sales is $83,300 — correct royalty is $6,664.00. Discrepancy of $280.00."
