Licensee Name,Sunrise Apparel Co.
Licensor Name,BrandCo Holdings LLC
Contract Number,BC-2024-0042
Reporting Period Start,2025-04-01
Reporting Period End,2025-06-30
Report Submission Date,2025-07-28
Territory,United States

Product Description,SKU,Product Category,Gross Sales,Returns / Allowances,Net Sales,Royalty Rate,Royalty Due
Licensed Branded Apparel - All SKUs,ALL,Apparel,101200.00,4800.00,96400.00,8%,7712.00

TOTAL,,,,4800.00,96400.00,,7712.00

Licensee Reported Royalty,7712.00
Notes,"Licensee applied 8% rate. Returns reflect Q2 chargebacks from retail partners. Calculation verified: $96,400.00 x 8% = $7,712.00 exactly."
