Licensee Name,Meridian Goods LLC
Licensor Name,BrandCo Holdings LLC
Contract Number,BC-2024-0078
Reporting Period Start,2025-07-01
Reporting Period End,2025-09-30
Report Submission Date,2025-10-30
Territory,United States and Canada

Product Description,SKU,Product Category,Gross Sales,Returns / Allowances,Net Sales,Royalty Rate,Royalty Due
Classic Logo Tee - S/M/L,SKU-APP-001,Apparel,21300.00,1050.00,20250.00,10%,2025.00
Classic Logo Tee - XL/XXL,SKU-APP-002,Apparel,11200.00,550.00,10650.00,10%,1065.00
Logo Hoodie - Full Zip,SKU-APP-003,Apparel,24800.00,900.00,23900.00,10%,2390.00
Logo Hoodie - Pullover,SKU-APP-004,Apparel,16500.00,700.00,15800.00,10%,1580.00
Logo Cap - Structured,SKU-ACC-001,Accessories,12800.00,350.00,12450.00,12%,1480.00
Logo Cap - Unstructured,SKU-ACC-002,Accessories,9600.00,300.00,9300.00,12%,1116.00
Branded Keychain,SKU-ACC-003,Accessories,5100.00,100.00,5000.00,12%,600.00
Tote Bag - Canvas,SKU-ACC-004,Accessories,7500.00,300.00,7200.00,12%,864.00
Low-Top Sneaker,SKU-FTW-001,Footwear,0.00,0.00,0.00,8%,0.00
High-Top Sneaker,SKU-FTW-002,Footwear,0.00,0.00,0.00,8%,0.00
Slide Sandal,SKU-FTW-003,Footwear,0.00,0.00,0.00,8%,0.00

TOTAL,,,108800.00,4250.00,104550.00,,11120.00

Licensee Reported Royalty,11120.00
Notes,"Rates per contract Exhibit A: Apparel 10%, Accessories 12%, Footwear 8%. Footwear had zero sales this quarter — styles carried over to Q4. All amounts in USD. Canadian sales converted at 1.34 CAD/USD per reporting period average. Note: licensee calculated SKU-ACC-001 royalty as $1,480.00 instead of $1,494.00 (12% of $12,450). Correct Accessories royalty is $4,074.00; correct total royalty is $11,134.00. Discrepancy: $14.00 under-reported."
