VANTAGE RETAIL PARTNERS,,,,,,,
ROYALTY STATEMENT - Q3 2025,,,,,,,
AGREEMENT REF: VRP / BC-2025-0011,,,,,,,
PREPARED BY: Finance Dept.,,,,,,,
,,,,,,,
Item #,Description,Product Line,Gross Revenue,Refunds,Total Revenue,Rate (%),Amount Owed
1001,Branded Mug - 12oz,Kitchen & Home,12400.00,800.00,11600.00,0.09,1044.00
1002,Branded Mug - 16oz,Kitchen & Home,9800.00,400.00,9400.00,0.09,846.00
1003,Branded Pint Glass (4-pack),Kitchen & Home,7200.00,200.00,7000.00,0.09,630.00
1004,Ceramic Bowl Set,Kitchen & Home,5100.00,0.00,5100.00,0.09,459.00
1005,Framed Art Print - 8x10,Wall Decor,8300.00,150.00,8150.00,0.09,733.50
1006,Framed Art Print - 11x14,Wall Decor,11600.00,300.00,11300.00,0.09,1017.00
1007,Canvas Print - 16x20,Wall Decor,14200.00,600.00,13600.00,0.09,1224.00
1008,Throw Pillow - 18x18,Soft Goods,9900.00,500.00,9400.00,0.09,846.00
1009,Fleece Blanket - 50x60,Soft Goods,16300.00,700.00,15600.00,0.09,1404.00
1010,Knit Throw - 60x80,Soft Goods,11100.00,300.00,10800.00,0.09,972.00
TOTAL,,,,3950.00,102050.00,,9175.50
,,,,,,,
Amount Owed This Period: $9175.50,,,,,,,
Please remit payment by October 31 2025,,,,,,,
