VANTAGE RETAIL PARTNERS,,,,,,,
ROYALTY STATEMENT - Q4 2025,,,,,,,
AGREEMENT REF: VRP / BC-2025-0011,,,,,,,
PREPARED BY: Finance Dept.,,,,,,,
,,,,,,,
Item #,Description,Product Line,Gross Revenue,Refunds,Total Revenue,Rate (%),Amount Owed
1011,Branded Mug - 12oz,Kitchen & Home,14800.00,900.00,13900.00,0.08,1112.00
1012,Branded Mug - 16oz,Kitchen & Home,11500.00,500.00,11000.00,0.08,880.00
1013,Branded Pint Glass (4-pack),Kitchen & Home,8900.00,250.00,8650.00,0.08,692.00
1014,Ceramic Bowl Set,Kitchen & Home,6200.00,0.00,6200.00,0.08,496.00
1015,Framed Art Print - 8x10,Wall Decor,9800.00,200.00,9600.00,0.08,768.00
1016,Framed Art Print - 11x14,Wall Decor,13400.00,350.00,13050.00,0.08,1044.00
1017,Canvas Print - 16x20,Wall Decor,17200.00,700.00,16500.00,0.08,1320.00
1018,Throw Pillow - 18x18,Soft Goods,12100.00,600.00,11500.00,0.08,920.00
1019,Fleece Blanket - 50x60,Soft Goods,19500.00,800.00,18700.00,0.08,1496.00
1020,Knit Throw - 60x80,Soft Goods,13800.00,400.00,13400.00,0.08,1072.00
TOTAL,,,,4700.00,122500.00,,9800.00
,,,,,,,
Amount Owed This Period: $9800.00,,,,,,,
Please remit payment by January 31 2026,,,,,,,
